Name	HAF1608	HELF977	IMR90	Beas-2B	Mammary_Epithelial	MCF10A	MCF7	MDA-DB-231	ZR75-1	HeLa	Hep3B	HepG2	Huh7	MIHA	Fadu	A549	H1264	H460	H520	RVH6849	HK1	NP460	LNCaP	BicR	DKO1	DKS8	DLD1	DLD2	HCT116	SW480	143B	U2OS	HEK293	A2058	A375	SH-SY5Y	LCLB	HDMYZ	C8166	Jurkat	SUP-T1	THP-1
hsa-miR-200a-3p	7.438656653	1.354349222	1.971376921	23.3377893	259.1603052	631.9764424	886.1515382	125.538742	506.2048687	8.640933318	766.3637705	95.81197844	0	346.6719945	173.876715	55.35932686	10.23308533	37.21281277	37.56210925	1729.017831	24688.1192	42.38351429	2174.040563	2235.281666	15226.04488	23037.54204	21419.72534	4495.487562	1719.357222	6001.996506	0	10.40893741	1.305636133	8.68480426	10.08328796	0	5.074794097	13.80046898	78.58647674	6.483618066	5.131415055	3.603513848
hsa-miR-382-3p	30.68445869	61.62288959	43.20601086	48.07584595	3.596168811	26.96293657	0	0	0	1.370800667	2.163647009	0	1.54363938	0	0	8.885254037	0	8.423369713	3.485924864	5.344627911	0	11.43682132	0	0	2.244038407	5.85631442	6.037363085	0	9.992113368	0	0	1.982654745	0	20.67810538	13.23431545	0	0	0	3.342313021	1.007909275	0	0
hsa-miR-623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1283-2	0	0	0	0	0	150.644536	2.879714125	3.979942002	1.663679526	1.967689188	0	1.594511325	0	0	5.204473103	5.240078408	1.766313917	1.182118073	0	3.58967396	0	0	0	0	3.180734661	3.239200518	3.482897012	0	0	3.359505481	0	242.8752063	0	11.78652007	3.676198735	0	0	0	0	0	0	0
hsa-miR-106a-3p	0	0	0	0	0	16.09078473	0	0	0	1.526502544	0	0	0	0	0	0	0	0	0	4.048429493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.940958988	0	1.673602309	0	0	1.619332454	0	1.353834893
hsa-miR-8089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548aa-1	9.298320816	10.15761916	0	62.7786532	18.81707622	11.39401513	6.134814582	15.12377961	24.48032057	30.7973503	33.75289334	23.99965701	16.51694137	34.21105209	19.39849066	21.89560942	106.3551208	60.23367995	47.17885539	24.1208005	9.510977253	32.29220137	12.00421833	26.29218866	6.00480663	7.054680226	6.825167033	47.30432369	41.39589824	29.27569062	0	281.5369738	30.27192344	27.2950991	12.18397295	0	12.14711353	95.43908562	24.25339984	11.49340444	38.70830669	10.54622785
hsa-miR-6507-5p	0	17.60653988	0	0	0	6.871199965	0	0	0	1.406462549	0	1.020716458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.894934753	0	0	0	0	0	0	0	0
hsa-miR-452-5p	609.0400135	41.98482587	32.85628202	803.5200854	431.7127714	426.9711472	1.174901356	395.8336603	0	569.3257252	0	350.425499	1582.384728	6801.157155	12.30148188	69.48887282	394.9376804	377.4208424	95.05664479	8.715860996	328.9212967	1744.451628	155.0332027	276.5136112	89.48517501	266.0795006	116.7949072	136.3941333	22.12539389	6.719010962	24.62035414	0	3.195945031	1.861029484	26.36359664	0	0	0	1.652698178	3.407078025	0	18.66961987
hsa-miR-3179-3	23.24580204	151.0099382	0	0	0	0	1.167073744	0	0	1.026015366	0	1.473653278	1.389275442	1.824589445	4.967906143	0	1.551371292	0	0	0	0	0	0	2.896597055	10.24159802	15.9560366	13.82341375	5.518837764	1.427444767	0	0	0	2.204235741	14.47467377	3.045993237	0	0	4.957274798	0	7.461247142	1.536154548	0
